status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
N;101,253312;21,926863;22,72916603;26,08333397;17,76666641;1663;302;18;76,20493317;856;75;669;85;11,04166698;52,33017349;351,5644226;31,70000076;10,60000038;21,10000038;25,61666679;19,33333397
N;101,4015302;14,60905195;25,56666565;27,51666641;22,66666603;1165;240;3;77,38684845;578;30;355;45;10,83333302;58,5585556;197,5915527;33,70000076;15,19999981;18,5;25,89999962;23,13333321
N;101,4420569;12,99384675;27,36666679;28,60000038;25,86666679;1395;256;6;72,32080841;634;51;448;76;8,633333206;64,91227722;110,1926804;33,20000076;19,89999962;13,30000114;27,35000038;26,08333397
N;101,455542;3,101813668;27,18333435;27,66666794;26,64999962;2316;283;111;28,21001244;789;392;527;710;9,150000572;88,83494568;38,98329544;32,40000153;22,10000038;10,30000114;26,81666756;27,38333321
N;101,5008011;15,15306568;26,30833244;28,41666603;23,31666756;1090;217;1;77,4982605;525;24;301;35;11,33333302;58,72193527;205,557251;35,09999847;15,80000019;19,29999924;26,48333359;23,85000038
N;101,5156364;14,33222329;22,60000038;24,29999924;20,11666679;1138;232;2;75,42345428;544;30;362;43;9,649999619;58,841465;171,4244995;29,89999962;13,5;16,39999962;23,01666641;20,35000038
N;101,5291111;14,55693611;25,48333359;27,41666603;22,54999924;1181;239;3;76,44769287;578;31;365;46;11,05000019;59,09091187;198,417984;33,79999924;15,10000038;18,69999886;25,78333282;23,08333397
N;101,6075878;3,180684323;26,91250038;27,29999924;26,51666641;2496;302;132;27,8163662;833;435;599;714;9,408332825;91,34303284;30,75748444;32,20000076;21,89999962;10,30000114;26,66666603;27
N;101,6529674;2,979945691;27,21249962;27,65000153;26,76666641;2262;282;125;26,63589287;769;432;551;663;9,25833416;90,76797485;34,45189285;32,40000153;22,20000076;10,20000076;26,93333435;27,31666565
N;101,6535518;19,23312406;25,375;27,95000076;21,46666718;1228;239;11;82,84266663;642;38;405;38;11,25;54,34782791;276,6890259;34,29999924;13,60000038;20,69999886;27,26666641;21,46666718
N;101,7809133;3,0196195;27,45833397;27,89999962;27,08333397;2237;284;126;28,11305428;771;417;591;651;9,666666031;91,19496155;32,94853973;33;22,39999962;10,60000038;27,18333244;27,46666718
N;101,8435568;16,8970454;25,97500038;28,31666565;22,58333397;1098;225;2;84,93135071;555;18;371;19;10,98333359;54,91666031;237,0126495;34,90000153;14,89999962;20,00000191;27,03333282;22,81666565
N;101,8678297;2,864920773;27,03333282;27,53333282;26,63333321;1995;262;107;30,75288773;690;371;542;563;9,166666985;88,99675751;36,45254517;32,40000153;22,10000038;10,30000114;26,75;27
N;101,918095;15,725297;27;29,21666718;24,01666641;1051;215;4;78,92108917;496;23;271;27;10,34999943;55,64516449;209,8700714;35,79999924;17,20000076;18,59999847;27,20000076;24,41666603
N;101,9821167;12,59155;27,26666641;28,43333244;25,89999962;2549;453;8;83,97312927;1263;65;482;80;7,750000477;63,52458954;102,7426987;32,90000153;20,70000076;12,20000076;27,48333359;26
N;102,0224714;14,87663507;26,81666565;28,88333321;23,79999924;1052;223;3;79,04007721;515;26;260;38;10,78333378;58,2882843;207,4338074;35,40000153;16,89999962;18,50000191;27;24,35000038
N;102,0731629;14,99131864;27,22083282;29,38333321;24,08333397;1034;223;3;80,36524963;509;24;323;35;10,57499981;57,4728241;215,948822;35,79999924;17,39999962;18,39999962;27,48333359;24,58333206
N;102,2199984;19,8437755;24,56666756;27,41666794;20,23333359;1436;313;11;86,16345215;774;52;631;52;10,60000038;53,26633072;307,6327209;32,90000153;13;19,90000153;27,20000076;20,23333359
N;102,2776838;15,0017506;27,02499962;29,26666641;23,78333282;1052;216;3;78,98446655;504;25;253;35;10,33333302;55,55555344;223,997757;35,70000076;17,10000038;18,60000038;27,21666718;24,36666679
N;102,3661439;-3,91261959;26,72500038;27,10000038;26,5;3333;396;189;25,08652878;1116;585;697;1073;7,950000286;89,32583618;26,50043106;31,20000076;22,29999924;8,900001526;26,63333321;26,64999962
N;102,4046185;18,61080658;25,39583397;27,96666718;21,39999962;2543;649;3;106,7582703;1573;22;1339;22;10,375;54,31936646;279,0524292;33,40000153;14,30000019;19,10000229;27,78333282;21,39999962
N;102,4488144;18,92975044;25,16250038;27,76666641;21,14999962;3235;862;8;107,1643219;2015;47;1660;47;10,34166718;55,30303574;280,2768555;32,79999924;14,10000038;18,69999886;27,31666565;21,14999962
N;102,463957;17,688882;26,39999962;28,88333321;22,81666756;1336;253;4;87,85943604;678;22;490;22;10,91666603;53,51306534;253,7625885;35,40000153;15;20,40000153;27,75;22,81666756
N;102,5899096;20,79152995;22,78750038;26,03333282;17,96666718;1682;409;5;103,9776154;1077;45;856;54;9,725000381;51,72872162;341,714447;30,5;11,69999981;18,79999924;26;18,44999886
N;102,6078643;2,047330852;27,07916641;27,54999924;26,63333321;2225;234;107;20,5524559;651;407;596;528;8,291666985;87,28070068;36,7706871;32;22,5;9,5;26,88333321;27,08333397
N;102,625775;17,96649597;26,42083359;28,81666565;22,78333282;1716;338;5;94,88949585;945;24;620;24;10,50833321;54,44732666;256,0314026;34,79999924;15,5;19,29999924;28,41666603;22,78333282
N;102,644783;16,13022995;26,98333359;29,38333321;23,73333359;1111;218;2;82,78390503;541;18;385;21;10,16666603;53,50876999;231,2450104;35,79999924;16,79999924;19;27,88333321;23,96666718
N;102,6452848;18,06280095;26,15416718;28,61666679;22,45000076;1818;368;4;98,28770447;1043;22;654;22;10,67500019;54,46429062;263,1060486;34,59999847;15;19,59999847;28,29999924;22,53333282
N;102,6465873;25,14783227;14,55000019;19,08333397;8,516666412;910;184;13;83,39110565;504;42;504;42;11,01666737;47,07977295;442,4569702;24,20000076;0,800000012;23,40000153;19,08333397;8,516666412
N;102,7352391;18,14731428;25,82083321;28,36666679;21,91666603;2000;415;3;101,4210968;1192;21;1039;21;10,49166679;53,80341721;277,3614197;34;14,5;19,5;28,21666718;21,91666603
