status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E;21,726449;36,837501;16,94166565;24,41666603;10,0666666;698;133;1;81,39147949;362;11;11;331;8,300000191;34,2975235;596,4814453;30;5,800000191;24,20000076;11,48333359;24,41666603
E;21,747453;36,948625;16,42916679;23,89999962;9,583333015;740;138;3;78,96286011;377;16;16;344;8,841666222;35,94173431;596,0150146;29,79999924;5,199999809;24,59999847;10,96666622;23,89999962
E;21,761388;39,556612;15,98333359;25,66666603;6,316666603;714;101;17;50,81132507;280;63;63;262;11,89999962;34,89736176;787,0610962;34,29999924;0,200000003;34,09999847;12,3166666;25,66666603
E;21,911266;40,973579;12,0625;21,51666641;2,566666603;499;56;32;21,58004761;151;100;109;106;10,40833378;33,68392563;768,1149292;28,70000076;-2,200000048;30,90000153;7,616666794;20,83333397
E;21,931369;36,821148;17,28333282;24,79999924;10,51666641;696;130;3;79,72819519;356;15;15;324;8,399999619;34,85477066;595,9001465;30,5;6,400000095;24,10000038;11,91666698;24,79999924
E;22,013072;37,050422;17,1875;24,83333397;10,41666698;735;136;5;77,90486908;371;23;23;334;10,625;40,39923859;601,0374756;31,70000076;5,400000095;26,30000114;11,71666718;24,83333397
E;22,14583;36,970212;17,07916641;24,43333435;10,61666679;690;129;5;78,70507813;351;21;21;318;8,791666985;36,78521347;579,727478;30,10000038;6,199999809;23,90000153;11,96666622;24,43333435
E;22,165483;38,197302;16,46666718;24,95000076;8,800000191;648;110;9;66,67367554;297;34;34;267;10,61666679;37,38262939;666,003479;32,5;4,099999905;28,39999962;10,1833334;24,95000076
E;22,255289;40,490967;14,65833378;24,35000038;4,983333588;445;56;23;26,17352486;148;76;78;113;10,30000019;32,90734863;784,2884521;31,60000038;0,300000012;31,30000114;10,21666718;23,68333435
E;22,276422;38,893284;16,04166603;25,01666641;7,550000191;608;92;13;54,29608917;252;48;48;225;10,46666622;35,48022461;713,5373535;32,29999924;2,799999952;29,5;12,46666622;25,01666641
E;22,297063;36,80372;17,05833244;24,45000076;10,48333359;641;121;4;79,83530426;329;17;17;301;8,216666222;35,11396027;584,9779663;29,79999924;6,400000095;23,39999962;11,91666603;24,45000076
E;22,38325;38,377294;17,08333397;25,73333359;9,366666794;609;99;10;62,36665344;269;38;38;247;10,48333359;36,78362656;677,7949829;33,20000076;4,699999809;28,5;10,76666641;25,73333359
